parmy@fedora:~$ readelf -Ws libc-2.23.so

Symbol table '.dynsym' contains 2415 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
   170: 000792d0   214 FUNC    GLOBAL DEFAULT   13 envz_merge@@GLIBC_2.0
   171: 000a80a0    42 FUNC    WEAK   DEFAULT   13 strftime_l@@GLIBC_2.3
   172: 00021c50  1919 FUNC    GLOBAL DEFAULT   13 setlocale@@GLIBC_2.0
   173: 00077c80    37 FUNC    GLOBAL DEFAULT   13 memfrob@@GLIBC_2.0
   174: 00090910   471 FUNC    WEAK   DEFAULT   13 mbrtowc@@GLIBC_2.0
   175: 0002f090   105 FUNC    WEAK   DEFAULT   13 srand@@GLIBC_2.0
   176: 000e9350   121 FUNC    WEAK   DEFAULT   13 iswcntrl_l@@GLIBC_2.3
   177: 001181a0   166 FUNC    WEAK   DEFAULT   13 getutid_r@@GLIBC_2.0
   178: 000afbf0  1157 FUNC    WEAK   DEFAULT   13 execvpe@@GLIBC_2.11
   179: 000e8910   148 FUNC    WEAK   DEFAULT   13 iswblank@@GLIBC_2.1
   180: 00073620     2 FUNC    GLOBAL DEFAULT   13 tr_break@@GLIBC_2.0
   181: 000f1f50    95 FUNC    GLOBAL DEFAULT   13 __libc_pthread_init@@GLIBC_PRIVATE
   182: 000f4c70   271 FUNC    GLOBAL DEFAULT   13 __vfwprintf_chk@@GLIBC_2.4
   183: 000604d0   156 FUNC    GLOBAL DEFAULT   13 fgetws_unlocked@@GLIBC_2.2
   184: 000d44d0   101 FUNC    WEAK   DEFAULT   13 __write@@GLIBC_2.0
   185: 000ddf20   125 FUNC    GLOBAL DEFAULT   13 __select@@GLIBC_2.0
   186: 000e8f30    96 FUNC    WEAK   DEFAULT   13 towlower@@GLIBC_2.0
   187: 000d5aa0   799 FUNC    WEAK   DEFAULT   13 ttyname_r@@GLIBC_2.0
   188: 0005d8e0    35 FUNC    GLOBAL DEFAULT   13 fopen@@GLIBC_2.1
   189: 0011d4e0   140 FUNC    GLOBAL DEFAULT   13 fopen@GLIBC_2.0
   190: 000cea10   105 FUNC    GLOBAL DEFAULT   13 gai_strerror@@GLIBC_2.1
